symbol,CXSMILES,R1,R2,R3,source,position_class,has_sidechain,prop_status
A9W,*N[C@@H](Cc1nnn([C@@H]2COC[C@H]2O)c1C)C(*)=O |$_R1;;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
BMZ,*N[C@H](C(*)=O)c1nc2n(c1Br)CCN2 |$_R1;;;;_R2;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
GIJ,*N[C@H](C(*)=O)C1(ON)CCS(=O)(=O)CC1 |$_R1;;;;_R2;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
A5U,*N[C@H](C(*)=O)c1sccc1-c1ccccc1CC |$_R1;;;;_R2;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
LFS,*N[C@H](C(*)=O)c1cc(CO)c(Cl)s1 |$_R1;;;;_R2;;;;;;;;;$|,H,OH,H,NNAA,flexible,True,struct_only
UG3,*N[C@@H](CCCC[C@H]1CCC[NH2+]C1)C(*)=O |$_R1;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
0QY,*N[C@@H](Cc1onc(C(C)(C)C)c1Br)C(*)=O |$_R1;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
BFK,*N[C@H](C(*)=O)c1c(OC)ccc2cc(CC(C)C)ccc12 |$_R1;;;;_R2;;;;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
3MO,*N[C@H](C(*)=O)c1c(Br)oc2c(C)c3c(cc12)CCCC3 |$_R1;;;;_R2;;;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
HGY,*N[C@@H](C/C(=N\n1cnnc1)c1ccc(Br)cc1)C(*)=O |$_R1;;;;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
KX7,*N[C@H](C(*)=O)c1ccc2nc(-n3cnnn3)sc2c1 |$_R1;;;;_R2;;;;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
7MS,*N[C@@H](CNc1nc(N)nc2c1ncn2C(C)C)C(*)=O |$_R1;;;;;;;;;;;;;;;;;;;_R2;$|,H,OH,-,NNAA,flexible,False,struct_only
78S,*N[C@H](C(*)=O)c1oc(Br)cc1C(=O)O |$_R1;;;;_R2;;;;;;;;;;$|,H,OH,OH,NNAA,flexible,True,struct_only
DOA,*N[C@H](C(*)=O)c1ccc2oc(=O)oc2c1C |$_R1;;;;_R2;;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
VR4,*N[C@H](C(*)=O)c1cccn2c(Cl)cnc12 |$_R1;;;;_R2;;;;;;;;;;;$|,H,OH,-,NNAA,flexible,False,struct_only
295,*N[C@H](C(*)=O)[C@@H]1CN(C(=O)O)CCS1(=O)=O |$_R1;;;;_R2;;;;;;;;;;;;$|,H,OH,OH,NNAA,flexible,True,struct_only
