symbol,CXSMILES,R1,R2,R3,source,position_class,has_sidechain,prop_status
Me_Ser(Pr),CCCOC[C@@H](C([*])=O)N(C)[*] |$;;;;;;;_R2;;;;_R1$|,H,OH,-,CycPeptMPDB,flexible,False,full
Sar,CN([*])CC([*])=O |$;;_R1;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Sta,CC(C)C[C@H](N[*])[C@@H](O)CC([*])=O |$;;;;;;_R1;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
"Sta(3R,4R)",CC(C)C[C@@H](N[*])[C@H](O)CC([*])=O |$;;;;;;_R1;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
T,C[C@@H](O[*])[C@H](N[*])C([*])=O |$;;;_R3;;;_R1;;_R2;$|,H,OH,H,CycPeptMPDB,flexible,True,full
dT,C[C@H](O)[C@@H](N[*])C([*])=O |$;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
meT,C[C@@H](O)[C@H](N(C)[*])C([*])=O |$;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Me_Bmt(E),C/C=C/C[C@@H](C)[C@@H](O[*])[C@@H](C([*])=O)N(C)[*] |$;;;;;;;;_R3;;;_R2;;;;_R1$|,H,OH,H,CycPeptMPDB,flexible,True,full
Tle,CC(C)(C)[C@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Tza,[*]N[C@@H](Cc1cscn1)C([*])=O |$_R1;;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
Me_Tza,CN([*])[C@@H](Cc1cscn1)C([*])=O |$;;_R1;;;;;;;;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
V,CC(C)[C@H](N[*])C([*])=O |$;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
dV,CC(C)[C@@H](N[*])C([*])=O |$;;;;;_R1;;_R2;$|,H,OH,-,CycPeptMPDB,flexible,False,full
